#Supplementary Table 6. All ENCODE profiles informations.				
Accession	Cell type / Tissue	Feature	Treatment	Download link
ENCFF539GRW	HepG2	JUND	None	https://www.encodeproject.org/files/ENCFF539GRW/@@download/ENCFF539GRW.bed.gz
ENCFF339XZT	HEK293	eGFP-ZNF610	None	https://www.encodeproject.org/files/ENCFF339XZT/@@download/ENCFF339XZT.bed.gz
ENCFF735QIK	HEK293	eGFP-ZNF707	None	https://www.encodeproject.org/files/ENCFF735QIK/@@download/ENCFF735QIK.bed.gz
ENCFF045YGV	HEK293	eGFP-ZNF837	None	https://www.encodeproject.org/files/ENCFF045YGV/@@download/ENCFF045YGV.bed.gz
ENCFF225VFR	MCF-7	MTA1	None	https://www.encodeproject.org/files/ENCFF225VFR/@@download/ENCFF225VFR.bed.gz
ENCFF870SFJ	H1-hESC	TAF1	None	https://www.encodeproject.org/files/ENCFF870SFJ/@@download/ENCFF870SFJ.bed.gz
ENCFF110UZZ	HEK293T	TARDBP	None	https://www.encodeproject.org/files/ENCFF110UZZ/@@download/ENCFF110UZZ.bed.gz
ENCFF929WYQ	SK-N-MC	POLR2AphosphoS5	None	https://www.encodeproject.org/files/ENCFF929WYQ/@@download/ENCFF929WYQ.bed.gz
ENCFF407RMG	HEK293	eGFP-ZNF211	None	https://www.encodeproject.org/files/ENCFF407RMG/@@download/ENCFF407RMG.bed.gz
ENCFF894CGQ	HEK293	eGFP-ZNF658	None	https://www.encodeproject.org/files/ENCFF894CGQ/@@download/ENCFF894CGQ.bed.gz
ENCFF220RUS	MCF-7	SIN3A	None	https://www.encodeproject.org/files/ENCFF220RUS/@@download/ENCFF220RUS.bed.gz
ENCFF270NAL	GM12878	MAX	None	https://www.encodeproject.org/files/ENCFF270NAL/@@download/ENCFF270NAL.bed.gz
ENCFF209WRW	MCF-7	NBN	None	https://www.encodeproject.org/files/ENCFF209WRW/@@download/ENCFF209WRW.bed.gz
ENCFF181XMM	HepG2	CHD2	None	https://www.encodeproject.org/files/ENCFF181XMM/@@download/ENCFF181XMM.bed.gz
ENCFF679DYR	HEK293	eGFP-ZSCAN5C	None	https://www.encodeproject.org/files/ENCFF679DYR/@@download/ENCFF679DYR.bed.gz
ENCFF928KRQ	HEK293	eGFP-ZBTB7A	None	https://www.encodeproject.org/files/ENCFF928KRQ/@@download/ENCFF928KRQ.bed.gz
ENCFF797MRW	K562	eGFP-CEBPG	None	https://www.encodeproject.org/files/ENCFF797MRW/@@download/ENCFF797MRW.bed.gz
ENCFF915ZYE	HepG2	CEBPB	None	https://www.encodeproject.org/files/ENCFF915ZYE/@@download/ENCFF915ZYE.bed.gz
ENCFF339AQP	K562	MYC	interferon alpha	https://www.encodeproject.org/files/ENCFF339AQP/@@download/ENCFF339AQP.bed.gz
ENCFF729VVD	HEK293	eGFP-ZNF530	None	https://www.encodeproject.org/files/ENCFF729VVD/@@download/ENCFF729VVD.bed.gz
ENCFF782YFS	K562	NRF1	None	https://www.encodeproject.org/files/ENCFF782YFS/@@download/ENCFF782YFS.bed.gz
ENCFF343QQE	MCF-7	GTF2F1	None	https://www.encodeproject.org/files/ENCFF343QQE/@@download/ENCFF343QQE.bed.gz
ENCFF964EVA	MCF-7	POLR2A	None	https://www.encodeproject.org/files/ENCFF964EVA/@@download/ENCFF964EVA.bed.gz
ENCFF175UAG	HEK293	eGFP-ZFHX2	None	https://www.encodeproject.org/files/ENCFF175UAG/@@download/ENCFF175UAG.bed.gz
ENCFF854RVF	MCF 10A	STAT3	afimoxifene	https://www.encodeproject.org/files/ENCFF854RVF/@@download/ENCFF854RVF.bed.gz
ENCFF475LFH	K562	TAL1	None	https://www.encodeproject.org/files/ENCFF475LFH/@@download/ENCFF475LFH.bed.gz
ENCFF062VBB	K562	PKNOX1	None	https://www.encodeproject.org/files/ENCFF062VBB/@@download/ENCFF062VBB.bed.gz
ENCFF069KPS	HepG2	HDAC1	None	https://www.encodeproject.org/files/ENCFF069KPS/@@download/ENCFF069KPS.bed.gz
ENCFF651QOL	H1-hESC	PHF8	None	https://www.encodeproject.org/files/ENCFF651QOL/@@download/ENCFF651QOL.bed.gz
ENCFF887DUY	HepG2	TBX3	None	https://www.encodeproject.org/files/ENCFF887DUY/@@download/ENCFF887DUY.bed.gz
ENCFF654KVO	HepG2	TBX3	None	https://www.encodeproject.org/files/ENCFF654KVO/@@download/ENCFF654KVO.bed.gz
ENCFF323QQU	GM12878	STAT1	None	https://www.encodeproject.org/files/ENCFF323QQU/@@download/ENCFF323QQU.bed.gz
ENCFF076OFH	Ishikawa	ESR1	estradiol	https://www.encodeproject.org/files/ENCFF076OFH/@@download/ENCFF076OFH.bed.gz
ENCFF332FUE	HepG2	YBX1	None	https://www.encodeproject.org/files/ENCFF332FUE/@@download/ENCFF332FUE.bed.gz
ENCFF596KQL	HEK293	eGFP-ZNF514	None	https://www.encodeproject.org/files/ENCFF596KQL/@@download/ENCFF596KQL.bed.gz
ENCFF815ZYA	HEK293	eGFP-ZSCAN4	None	https://www.encodeproject.org/files/ENCFF815ZYA/@@download/ENCFF815ZYA.bed.gz
ENCFF785BTP	K562	IKZF1	None	https://www.encodeproject.org/files/ENCFF785BTP/@@download/ENCFF785BTP.bed.gz
ENCFF543STN	K562	NRF1	None	https://www.encodeproject.org/files/ENCFF543STN/@@download/ENCFF543STN.bed.gz
ENCFF785YII	HeLa-S3	SREBF2	None	https://www.encodeproject.org/files/ENCFF785YII/@@download/ENCFF785YII.bed.gz
ENCFF813LOW	K562	CEBPB	None	https://www.encodeproject.org/files/ENCFF813LOW/@@download/ENCFF813LOW.bed.gz
ENCFF635YMI	HepG2	SIN3A	None	https://www.encodeproject.org/files/ENCFF635YMI/@@download/ENCFF635YMI.bed.gz
ENCFF064YWN	SH-SY5Y	GATA2	None	https://www.encodeproject.org/files/ENCFF064YWN/@@download/ENCFF064YWN.bed.gz
ENCFF768FGG	HepG2	KDM1A	None	https://www.encodeproject.org/files/ENCFF768FGG/@@download/ENCFF768FGG.bed.gz
ENCFF443HNU	H1-hESC	JUND	None	https://www.encodeproject.org/files/ENCFF443HNU/@@download/ENCFF443HNU.bed.gz
ENCFF046BRP	MCF-7	GATAD2B	None	https://www.encodeproject.org/files/ENCFF046BRP/@@download/ENCFF046BRP.bed.gz
ENCFF813GMP	K562	ZBTB5	None	https://www.encodeproject.org/files/ENCFF813GMP/@@download/ENCFF813GMP.bed.gz
ENCFF151FYK	K562	eGFP-FOSL1	None	https://www.encodeproject.org/files/ENCFF151FYK/@@download/ENCFF151FYK.bed.gz
ENCFF113OWH	HEK293	eGFP-ZNF133	None	https://www.encodeproject.org/files/ENCFF113OWH/@@download/ENCFF113OWH.bed.gz
ENCFF126IZP	HEK293	eGFP-ZNF416	None	https://www.encodeproject.org/files/ENCFF126IZP/@@download/ENCFF126IZP.bed.gz
ENCFF913CII	K562	eGFP-VEZF1	None	https://www.encodeproject.org/files/ENCFF913CII/@@download/ENCFF913CII.bed.gz
ENCFF842TDI	H1-hESC	PAF1	None	https://www.encodeproject.org/files/ENCFF842TDI/@@download/ENCFF842TDI.bed.gz
ENCFF279JGE	Ishikawa	ESR1	dimethyl sulfoxide	https://www.encodeproject.org/files/ENCFF279JGE/@@download/ENCFF279JGE.bed.gz
ENCFF175UEE	K562	SMC3	None	https://www.encodeproject.org/files/ENCFF175UEE/@@download/ENCFF175UEE.bed.gz
ENCFF171OJF	HepG2	MAFK	None	https://www.encodeproject.org/files/ENCFF171OJF/@@download/ENCFF171OJF.bed.gz
ENCFF459ARL	neural cell	EP300	None	https://www.encodeproject.org/files/ENCFF459ARL/@@download/ENCFF459ARL.bed.gz
ENCFF255WJM	neural cell	MXI1	None	https://www.encodeproject.org/files/ENCFF255WJM/@@download/ENCFF255WJM.bed.gz
ENCFF287GDT	K562	eGFP-KLF1	None	https://www.encodeproject.org/files/ENCFF287GDT/@@download/ENCFF287GDT.bed.gz
ENCFF587PBU	K562	eGFP-PTTG1	None	https://www.encodeproject.org/files/ENCFF587PBU/@@download/ENCFF587PBU.bed.gz
ENCFF337BRJ	HEK293	eGFP-ZNF664	None	https://www.encodeproject.org/files/ENCFF337BRJ/@@download/ENCFF337BRJ.bed.gz
ENCFF576BRL	HEK293	eGFP-ZNF791	None	https://www.encodeproject.org/files/ENCFF576BRL/@@download/ENCFF576BRL.bed.gz
ENCFF105YDI	GM12878	RELB	None	https://www.encodeproject.org/files/ENCFF105YDI/@@download/ENCFF105YDI.bed.gz
ENCFF193DQZ	HepG2	SIN3B	None	https://www.encodeproject.org/files/ENCFF193DQZ/@@download/ENCFF193DQZ.bed.gz
ENCFF814YLC	HEK293	eGFP-YY2	None	https://www.encodeproject.org/files/ENCFF814YLC/@@download/ENCFF814YLC.bed.gz
ENCFF549TVW	K562	DNMT1	None	https://www.encodeproject.org/files/ENCFF549TVW/@@download/ENCFF549TVW.bed.gz
ENCFF020TLE	HEK293	eGFP-ZNF19	None	https://www.encodeproject.org/files/ENCFF020TLE/@@download/ENCFF020TLE.bed.gz
ENCFF823CQK	K562	NONO	None	https://www.encodeproject.org/files/ENCFF823CQK/@@download/ENCFF823CQK.bed.gz
ENCFF944KJO	neural cell	SMC3	None	https://www.encodeproject.org/files/ENCFF944KJO/@@download/ENCFF944KJO.bed.gz
ENCFF977ZNJ	K562	eGFP-ZNF644	None	https://www.encodeproject.org/files/ENCFF977ZNJ/@@download/ENCFF977ZNJ.bed.gz
ENCFF544HIJ	K562	eGFP-ZNF584	None	https://www.encodeproject.org/files/ENCFF544HIJ/@@download/ENCFF544HIJ.bed.gz
ENCFF271NEP	K562	eGFP-ZNF589	None	https://www.encodeproject.org/files/ENCFF271NEP/@@download/ENCFF271NEP.bed.gz
ENCFF053XYZ	K562	POLR2AphosphoS5	None	https://www.encodeproject.org/files/ENCFF053XYZ/@@download/ENCFF053XYZ.bed.gz
ENCFF195BKI	HepG2	CEBPZ	None	https://www.encodeproject.org/files/ENCFF195BKI/@@download/ENCFF195BKI.bed.gz
ENCFF688ARM	K562	FUS	None	https://www.encodeproject.org/files/ENCFF688ARM/@@download/ENCFF688ARM.bed.gz
ENCFF917HXV	K562	PTBP1	None	https://www.encodeproject.org/files/ENCFF917HXV/@@download/ENCFF917HXV.bed.gz
ENCFF951VPZ	liver	FOXA1	None	https://www.encodeproject.org/files/ENCFF951VPZ/@@download/ENCFF951VPZ.bed.gz
ENCFF381ZDU	GM12878	BCLAF1	None	https://www.encodeproject.org/files/ENCFF381ZDU/@@download/ENCFF381ZDU.bed.gz
ENCFF261IAG	HEK293	eGFP-ZNF785	None	https://www.encodeproject.org/files/ENCFF261IAG/@@download/ENCFF261IAG.bed.gz
ENCFF313DUS	HEK293	eGFP-ZBTB21	None	https://www.encodeproject.org/files/ENCFF313DUS/@@download/ENCFF313DUS.bed.gz
ENCFF755FMU	HEK293	eGFP-ZNF558	None	https://www.encodeproject.org/files/ENCFF755FMU/@@download/ENCFF755FMU.bed.gz
ENCFF482DRO	K562	U2AF1	None	https://www.encodeproject.org/files/ENCFF482DRO/@@download/ENCFF482DRO.bed.gz
ENCFF128OWK	skeletal muscle myoblast	EZH2	None	https://www.encodeproject.org/files/ENCFF128OWK/@@download/ENCFF128OWK.bed.gz
ENCFF668ZTJ	K562	LARP7	None	https://www.encodeproject.org/files/ENCFF668ZTJ/@@download/ENCFF668ZTJ.bed.gz
ENCFF415SIS	A549	ZC3H11A	None	https://www.encodeproject.org/files/ENCFF415SIS/@@download/ENCFF415SIS.bed.gz
ENCFF615NYO	GM12878	EZH2	None	https://www.encodeproject.org/files/ENCFF615NYO/@@download/ENCFF615NYO.bed.gz
ENCFF658SXI	H1-hESC	CHD7	None	https://www.encodeproject.org/files/ENCFF658SXI/@@download/ENCFF658SXI.bed.gz
ENCFF579PZW	HEK293	eGFP-ZNF101	None	https://www.encodeproject.org/files/ENCFF579PZW/@@download/ENCFF579PZW.bed.gz
ENCFF338MXR	GM12878	CBX8	None	https://www.encodeproject.org/files/ENCFF338MXR/@@download/ENCFF338MXR.bed.gz
ENCFF646MEF	K562	CHAMP1	None	https://www.encodeproject.org/files/ENCFF646MEF/@@download/ENCFF646MEF.bed.gz
ENCFF258ZVN	MCF-7	SUZ12	None	https://www.encodeproject.org/files/ENCFF258ZVN/@@download/ENCFF258ZVN.bed.gz
ENCFF639RPS	HEK293	eGFP-ZNF292	None	https://www.encodeproject.org/files/ENCFF639RPS/@@download/ENCFF639RPS.bed.gz
ENCFF224AUG	HEK293	eGFP-ZNF623	None	https://www.encodeproject.org/files/ENCFF224AUG/@@download/ENCFF224AUG.bed.gz
ENCFF806JJS	HepG2	EP300	None	https://www.encodeproject.org/files/ENCFF806JJS/@@download/ENCFF806JJS.bed.gz
ENCFF477JTV	K562	BHLHE40	None	https://www.encodeproject.org/files/ENCFF477JTV/@@download/ENCFF477JTV.bed.gz
ENCFF454TRL	neural cell	RAD21	None	https://www.encodeproject.org/files/ENCFF454TRL/@@download/ENCFF454TRL.bed.gz
ENCFF432GSK	MCF-7	MNT	None	https://www.encodeproject.org/files/ENCFF432GSK/@@download/ENCFF432GSK.bed.gz
ENCFF363IQN	K562	NR2F1	None	https://www.encodeproject.org/files/ENCFF363IQN/@@download/ENCFF363IQN.bed.gz
ENCFF527EGF	K562	MYC	interferon gamma	https://www.encodeproject.org/files/ENCFF527EGF/@@download/ENCFF527EGF.bed.gz
ENCFF646MXG	K562	STAT1	interferon alpha	https://www.encodeproject.org/files/ENCFF646MXG/@@download/ENCFF646MXG.bed.gz
ENCFF882YLO	HepG2	NFE2L2	None	https://www.encodeproject.org/files/ENCFF882YLO/@@download/ENCFF882YLO.bed.gz
ENCFF910KOG	HCT116	POLR2AphosphoS5	None	https://www.encodeproject.org/files/ENCFF910KOG/@@download/ENCFF910KOG.bed.gz
ENCFF526WVH	GM12878	IKZF2	None	https://www.encodeproject.org/files/ENCFF526WVH/@@download/ENCFF526WVH.bed.gz
ENCFF580LRK	HEK293	eGFP-ZNF624	None	https://www.encodeproject.org/files/ENCFF580LRK/@@download/ENCFF580LRK.bed.gz
ENCFF260CBQ	K562	ZNF24	None	https://www.encodeproject.org/files/ENCFF260CBQ/@@download/ENCFF260CBQ.bed.gz
ENCFF183SHS	HEK293	eGFP-ZNF76	None	https://www.encodeproject.org/files/ENCFF183SHS/@@download/ENCFF183SHS.bed.gz
ENCFF158FUG	K562	NFRKB	None	https://www.encodeproject.org/files/ENCFF158FUG/@@download/ENCFF158FUG.bed.gz
ENCFF076TXN	HEK293	eGFP-SALL2	None	https://www.encodeproject.org/files/ENCFF076TXN/@@download/ENCFF076TXN.bed.gz
ENCFF388XSN	HEK293	eGFP-ZNF571	None	https://www.encodeproject.org/files/ENCFF388XSN/@@download/ENCFF388XSN.bed.gz
ENCFF475VMR	K562	eGFP-NR4A1	None	https://www.encodeproject.org/files/ENCFF475VMR/@@download/ENCFF475VMR.bed.gz
ENCFF349GBE	K562	eGFP-HDAC8	None	https://www.encodeproject.org/files/ENCFF349GBE/@@download/ENCFF349GBE.bed.gz
ENCFF295RBI	MCF-7	EZH2phosphoT487	None	https://www.encodeproject.org/files/ENCFF295RBI/@@download/ENCFF295RBI.bed.gz
ENCFF208AXT	A549	CBX2	None	https://www.encodeproject.org/files/ENCFF208AXT/@@download/ENCFF208AXT.bed.gz
ENCFF455HWV	MCF-7	SNIP1	None	https://www.encodeproject.org/files/ENCFF455HWV/@@download/ENCFF455HWV.bed.gz
ENCFF635XCI	K562	YY1	None	https://www.encodeproject.org/files/ENCFF635XCI/@@download/ENCFF635XCI.bed.gz
ENCFF049NRL	HeLa-S3	DEK	None	https://www.encodeproject.org/files/ENCFF049NRL/@@download/ENCFF049NRL.bed.gz
ENCFF258PUP	HEK293	eGFP-ZNF621	None	https://www.encodeproject.org/files/ENCFF258PUP/@@download/ENCFF258PUP.bed.gz
ENCFF044DFE	HeLa-S3	SUPT20H	None	https://www.encodeproject.org/files/ENCFF044DFE/@@download/ENCFF044DFE.bed.gz
ENCFF442WRJ	GM12878	HDGF	None	https://www.encodeproject.org/files/ENCFF442WRJ/@@download/ENCFF442WRJ.bed.gz
ENCFF511BOQ	HEK293	eGFP-ZBTB10	None	https://www.encodeproject.org/files/ENCFF511BOQ/@@download/ENCFF511BOQ.bed.gz
ENCFF118HUH	K562	NR2F2	None	https://www.encodeproject.org/files/ENCFF118HUH/@@download/ENCFF118HUH.bed.gz
ENCFF501PQI	SK-N-SH	POLR2AphosphoS5	None	https://www.encodeproject.org/files/ENCFF501PQI/@@download/ENCFF501PQI.bed.gz
ENCFF719MXF	GM12878	IRF3	None	https://www.encodeproject.org/files/ENCFF719MXF/@@download/ENCFF719MXF.bed.gz
ENCFF324QGE	liver	FOXA1	None	https://www.encodeproject.org/files/ENCFF324QGE/@@download/ENCFF324QGE.bed.gz
ENCFF509YFF	HepG2	HNRNPUL1	None	https://www.encodeproject.org/files/ENCFF509YFF/@@download/ENCFF509YFF.bed.gz
ENCFF838VFX	liver	YY1	None	https://www.encodeproject.org/files/ENCFF838VFX/@@download/ENCFF838VFX.bed.gz
ENCFF510FUM	GM12878	EP300	None	https://www.encodeproject.org/files/ENCFF510FUM/@@download/ENCFF510FUM.bed.gz
ENCFF021HUZ	GM12891	POLR2A	None	https://www.encodeproject.org/files/ENCFF021HUZ/@@download/ENCFF021HUZ.bed.gz
ENCFF587VEY	A549	JUND	ethanol	https://www.encodeproject.org/files/ENCFF587VEY/@@download/ENCFF587VEY.bed.gz
ENCFF034OSV	GM12878	RB1	None	https://www.encodeproject.org/files/ENCFF034OSV/@@download/ENCFF034OSV.bed.gz
ENCFF182XZZ	HepG2	HDAC2	None	https://www.encodeproject.org/files/ENCFF182XZZ/@@download/ENCFF182XZZ.bed.gz
ENCFF869NMB	HEK293	eGFP-ZNF670	None	https://www.encodeproject.org/files/ENCFF869NMB/@@download/ENCFF869NMB.bed.gz
ENCFF509YKU	HEK293	eGFP-ZSCAN18	None	https://www.encodeproject.org/files/ENCFF509YKU/@@download/ENCFF509YKU.bed.gz
ENCFF550VUN	K562	SRSF7	None	https://www.encodeproject.org/files/ENCFF550VUN/@@download/ENCFF550VUN.bed.gz
ENCFF474PPT	IMR-90	NFE2L2	None	https://www.encodeproject.org/files/ENCFF474PPT/@@download/ENCFF474PPT.bed.gz
ENCFF603SXI	K562	MCM5	None	https://www.encodeproject.org/files/ENCFF603SXI/@@download/ENCFF603SXI.bed.gz
ENCFF357ZHI	HEK293	eGFP-RBAK	None	https://www.encodeproject.org/files/ENCFF357ZHI/@@download/ENCFF357ZHI.bed.gz
ENCFF804KSB	K562	eGFP-ETV1	None	https://www.encodeproject.org/files/ENCFF804KSB/@@download/ENCFF804KSB.bed.gz
ENCFF295GOD	liver	RAD21	None	https://www.encodeproject.org/files/ENCFF295GOD/@@download/ENCFF295GOD.bed.gz
ENCFF124HAC	K562	GABPA	None	https://www.encodeproject.org/files/ENCFF124HAC/@@download/ENCFF124HAC.bed.gz
ENCFF125MEN	GM12878	MLLT1	None	https://www.encodeproject.org/files/ENCFF125MEN/@@download/ENCFF125MEN.bed.gz
ENCFF638IIC	K562	NCOR1	None	https://www.encodeproject.org/files/ENCFF638IIC/@@download/ENCFF638IIC.bed.gz
ENCFF024TJO	K562	YY1	None	https://www.encodeproject.org/files/ENCFF024TJO/@@download/ENCFF024TJO.bed.gz
ENCFF886YDF	HEK293	eGFP-ZNF394	None	https://www.encodeproject.org/files/ENCFF886YDF/@@download/ENCFF886YDF.bed.gz
ENCFF225BXA	K562	EP400	None	https://www.encodeproject.org/files/ENCFF225BXA/@@download/ENCFF225BXA.bed.gz
ENCFF459XLR	K562	MTA3	None	https://www.encodeproject.org/files/ENCFF459XLR/@@download/ENCFF459XLR.bed.gz
ENCFF926EZW	HCT116	EZH2	None	https://www.encodeproject.org/files/ENCFF926EZW/@@download/ENCFF926EZW.bed.gz
ENCFF728QYS	HEK293	eGFP-ZNF114	None	https://www.encodeproject.org/files/ENCFF728QYS/@@download/ENCFF728QYS.bed.gz
ENCFF226OCL	NT2/D1	YY1	None	https://www.encodeproject.org/files/ENCFF226OCL/@@download/ENCFF226OCL.bed.gz
ENCFF926CRV	K562	MNT	None	https://www.encodeproject.org/files/ENCFF926CRV/@@download/ENCFF926CRV.bed.gz
ENCFF453CCW	HL-60	POLR2AphosphoS5	None	https://www.encodeproject.org/files/ENCFF453CCW/@@download/ENCFF453CCW.bed.gz
ENCFF690WNQ	K562	SETDB1	None	https://www.encodeproject.org/files/ENCFF690WNQ/@@download/ENCFF690WNQ.bed.gz
ENCFF708RSP	HEK293T	SUZ12	None	https://www.encodeproject.org/files/ENCFF708RSP/@@download/ENCFF708RSP.bed.gz
ENCFF711MZF	A549	NR3C1	dexamethasone	https://www.encodeproject.org/files/ENCFF711MZF/@@download/ENCFF711MZF.bed.gz
ENCFF874VFZ	HepG2	RAD21	None	https://www.encodeproject.org/files/ENCFF874VFZ/@@download/ENCFF874VFZ.bed.gz
ENCFF421INQ	HEK293T	NFRKB	None	https://www.encodeproject.org/files/ENCFF421INQ/@@download/ENCFF421INQ.bed.gz
ENCFF213EYD	K562	JUND	None	https://www.encodeproject.org/files/ENCFF213EYD/@@download/ENCFF213EYD.bed.gz
ENCFF285MBX	K562	POLR2A	None	https://www.encodeproject.org/files/ENCFF285MBX/@@download/ENCFF285MBX.bed.gz
ENCFF652YVO	HepG2	POLR2AphosphoS2	None	https://www.encodeproject.org/files/ENCFF652YVO/@@download/ENCFF652YVO.bed.gz
ENCFF239LRW	HepG2	SUZ12	None	https://www.encodeproject.org/files/ENCFF239LRW/@@download/ENCFF239LRW.bed.gz
ENCFF072IHJ	GM12892	YY1	None	https://www.encodeproject.org/files/ENCFF072IHJ/@@download/ENCFF072IHJ.bed.gz
ENCFF852JPW	HEK293	eGFP-ZNF555	None	https://www.encodeproject.org/files/ENCFF852JPW/@@download/ENCFF852JPW.bed.gz
ENCFF471NIK	GM12891	TAF1	None	https://www.encodeproject.org/files/ENCFF471NIK/@@download/ENCFF471NIK.bed.gz
ENCFF418QVJ	H1-hESC	POLR2AphosphoS5	None	https://www.encodeproject.org/files/ENCFF418QVJ/@@download/ENCFF418QVJ.bed.gz
ENCFF700GZI	K562	ZNF143	None	https://www.encodeproject.org/files/ENCFF700GZI/@@download/ENCFF700GZI.bed.gz
ENCFF150NHK	HepG2	SMARCC2	None	https://www.encodeproject.org/files/ENCFF150NHK/@@download/ENCFF150NHK.bed.gz
ENCFF761NKP	MCF-7	SMARCE1	None	https://www.encodeproject.org/files/ENCFF761NKP/@@download/ENCFF761NKP.bed.gz
ENCFF963CGV	A549	NR3C1	ethanol	https://www.encodeproject.org/files/ENCFF963CGV/@@download/ENCFF963CGV.bed.gz
ENCFF881ONC	K562	POLR2A	None	https://www.encodeproject.org/files/ENCFF881ONC/@@download/ENCFF881ONC.bed.gz
ENCFF998CZO	MCF-7	eGFP-FOSL2	None	https://www.encodeproject.org/files/ENCFF998CZO/@@download/ENCFF998CZO.bed.gz
ENCFF361YXC	HepG2	BHLHE40	None	https://www.encodeproject.org/files/ENCFF361YXC/@@download/ENCFF361YXC.bed.gz
ENCFF352DRR	K562	BMI1	None	https://www.encodeproject.org/files/ENCFF352DRR/@@download/ENCFF352DRR.bed.gz
ENCFF210HTZ	GM12878	ATF2	None	https://www.encodeproject.org/files/ENCFF210HTZ/@@download/ENCFF210HTZ.bed.gz
ENCFF741IMY	K562	HDAC2	None	https://www.encodeproject.org/files/ENCFF741IMY/@@download/ENCFF741IMY.bed.gz
ENCFF071NYD	K562	MITF	None	https://www.encodeproject.org/files/ENCFF071NYD/@@download/ENCFF071NYD.bed.gz
ENCFF874LAC	HepG2	FLAG-KDM1A	None	https://www.encodeproject.org/files/ENCFF874LAC/@@download/ENCFF874LAC.bed.gz
ENCFF794UEM	MCF-7	ZBTB7B	None	https://www.encodeproject.org/files/ENCFF794UEM/@@download/ENCFF794UEM.bed.gz
ENCFF246ZMG	MCF-7	ZNF217	None	https://www.encodeproject.org/files/ENCFF246ZMG/@@download/ENCFF246ZMG.bed.gz
ENCFF722QBB	GM12878	HCFC1	None	https://www.encodeproject.org/files/ENCFF722QBB/@@download/ENCFF722QBB.bed.gz
ENCFF249SIN	GM12878	CHD4	None	https://www.encodeproject.org/files/ENCFF249SIN/@@download/ENCFF249SIN.bed.gz
ENCFF330OCU	A549	CBX8	None	https://www.encodeproject.org/files/ENCFF330OCU/@@download/ENCFF330OCU.bed.gz
ENCFF093XOJ	HepG2	RAD21	None	https://www.encodeproject.org/files/ENCFF093XOJ/@@download/ENCFF093XOJ.bed.gz
ENCFF997NUA	K562	eGFP-GATA2	None	https://www.encodeproject.org/files/ENCFF997NUA/@@download/ENCFF997NUA.bed.gz
ENCFF385ZTD	SK-N-MC	FOXP2	None	https://www.encodeproject.org/files/ENCFF385ZTD/@@download/ENCFF385ZTD.bed.gz
ENCFF616WXJ	HepG2	ARNT	None	https://www.encodeproject.org/files/ENCFF616WXJ/@@download/ENCFF616WXJ.bed.gz
ENCFF526AOS	HEK293	eGFP-ZNF132	None	https://www.encodeproject.org/files/ENCFF526AOS/@@download/ENCFF526AOS.bed.gz
ENCFF403CAJ	H1-hESC	REST	None	https://www.encodeproject.org/files/ENCFF403CAJ/@@download/ENCFF403CAJ.bed.gz
ENCFF324ETS	HEK293	eGFP-FEZF1	None	https://www.encodeproject.org/files/ENCFF324ETS/@@download/ENCFF324ETS.bed.gz
ENCFF884RBR	HEK293	eGFP-KLF1	None	https://www.encodeproject.org/files/ENCFF884RBR/@@download/ENCFF884RBR.bed.gz
ENCFF638IUM	HepG2	ASH2L	None	https://www.encodeproject.org/files/ENCFF638IUM/@@download/ENCFF638IUM.bed.gz
ENCFF820LKT	K562	RNF2	None	https://www.encodeproject.org/files/ENCFF820LKT/@@download/ENCFF820LKT.bed.gz
ENCFF766YPH	A549	CHD4	None	https://www.encodeproject.org/files/ENCFF766YPH/@@download/ENCFF766YPH.bed.gz
ENCFF589GSN	HepG2	HDAC2	None	https://www.encodeproject.org/files/ENCFF589GSN/@@download/ENCFF589GSN.bed.gz
ENCFF558VAL	K562	eGFP-HINFP	None	https://www.encodeproject.org/files/ENCFF558VAL/@@download/ENCFF558VAL.bed.gz
ENCFF116RCK	SK-N-SH	MXI1	None	https://www.encodeproject.org/files/ENCFF116RCK/@@download/ENCFF116RCK.bed.gz
ENCFF056OIG	K562	RBM17	None	https://www.encodeproject.org/files/ENCFF056OIG/@@download/ENCFF056OIG.bed.gz
ENCFF033PLJ	GM12892	TAF1	None	https://www.encodeproject.org/files/ENCFF033PLJ/@@download/ENCFF033PLJ.bed.gz
ENCFF207ZEK	K562	KAT8	None	https://www.encodeproject.org/files/ENCFF207ZEK/@@download/ENCFF207ZEK.bed.gz
ENCFF162TPR	HepG2	NFRKB	None	https://www.encodeproject.org/files/ENCFF162TPR/@@download/ENCFF162TPR.bed.gz
ENCFF672PYP	K562	MCM3	None	https://www.encodeproject.org/files/ENCFF672PYP/@@download/ENCFF672PYP.bed.gz
ENCFF540AAP	GM12878	TAF1	None	https://www.encodeproject.org/files/ENCFF540AAP/@@download/ENCFF540AAP.bed.gz
ENCFF119KFD	HEK293	eGFP-ZNF697	None	https://www.encodeproject.org/files/ENCFF119KFD/@@download/ENCFF119KFD.bed.gz
ENCFF789AXP	K562	eGFP-NR2C2	None	https://www.encodeproject.org/files/ENCFF789AXP/@@download/ENCFF789AXP.bed.gz
ENCFF863CTN	GM12878	CHD1	None	https://www.encodeproject.org/files/ENCFF863CTN/@@download/ENCFF863CTN.bed.gz
ENCFF461CLM	MCF-7	eGFP-KLF4	None	https://www.encodeproject.org/files/ENCFF461CLM/@@download/ENCFF461CLM.bed.gz
